idx,sample_id,py_patch,py_px1,py_px1m,py_px2,matlab_sr,sr1,sr2,sr3,sr4,Manual,Hypahl_transect
58,4508066,39.14,17.18,16.35,44.69,26,39.14,17.18,44.69,26,4,30
59,4508067,0.74,8.59,8.1,24.41,0,0.74,8.59,24.41,0,0,0
60,4508068,8.49,9.02,8.53,26.37,4,8.49,9.02,26.37,4,0.1,4
61,4508070,70.81,33.66,33.01,77.07,67,70.81,33.66,77.07,67,15,63
62,4508071,44.66,14.33,13.43,40.6,35,44.66,14.33,40.6,35,10,35
63,4508073,48.2,21.05,20.33,65.42,45,48.2,21.05,65.42,45,10,43
64,4508074,18.16,7.66,6.76,23,8,18.16,7.66,23,8,7,23
65,4508075,41.18,16.82,15.97,45.31,27,41.18,16.82,45.31,27,4,47
66,4508076,14.84,16.25,15.43,41.36,10,14.84,16.25,41.36,10,0.5,10
67,4509001,14.57,10.28,9.48,34.33,9,14.57,10.28,34.33,9,0.5,7
68,4509002,4.96,16.26,15.38,40.85,3,4.96,16.26,40.85,3,0.1,4
69,4509003,19.64,10.2,9.55,32.34,15,19.64,10.2,32.34,15,0.5,11
70,4509004,28.42,13,12.09,35.64,15,28.42,13,35.64,15,2,23
71,4509005,6.02,13.25,12.82,34.93,5,6.02,13.25,34.93,5,0.2,7
72,4509006,5.28,13.19,12.86,30.91,3,5.28,13.19,30.91,3,0.1,5
73,4509007,53.88,23.78,22.84,47.69,34,53.88,23.78,47.69,34,15,41
74,4509009,53.11,25.73,25.05,53.08,43,53.11,25.73,53.08,43,12,48
75,4509011,30.18,21.02,20.22,42.78,18,30.18,21.02,42.78,18,4,25
76,4509012,20.34,17.25,16.75,44.44,12,20.34,17.25,44.44,12,1,8
77,4509013,3.82,11.28,10.35,30.05,2,3.82,11.28,30.05,2,0.1,1
78,4509014,65.25,29.36,28.05,71.61,59,65.25,29.36,71.61,59,35,61
79,4509015,34.64,15.04,13.77,44.55,23,34.64,15.04,44.55,23,3,22
80,4509016,26.7,12.41,11.66,36.85,15,26.7,12.41,36.85,15,2,14
81,4509018,10.38,14.73,14.01,39.7,2,10.38,14.73,39.7,2,0.2,8
82,4509019,8,8.68,8.52,21.21,5,8,8.68,21.21,5,0.1,0
83,4509020,14.18,12.38,11.44,31.85,5,14.18,12.38,31.85,5,0.1,9
84,4509021,60.77,26.77,25.82,67.31,43,60.77,26.77,67.31,43,40,56
85,4509022,9.64,15.03,14.58,36.83,5,9.64,15.03,36.83,5,0.1,4
86,4509023,17.81,19.39,18.77,43.05,7,17.81,19.39,43.05,7,0.5,27
87,4509024,38.77,16.52,15.8,47.32,31,38.77,16.52,47.32,31,5,23
88,4509025,14.06,13.81,12.93,36.17,6,14.06,13.81,36.17,6,0.5,13
89,4509026,3.85,5.18,4.81,18.31,3,3.85,5.18,18.31,3,0.1,3
90,4509027,3.25,8.47,8.02,28.87,1,3.25,8.47,28.87,1,0.1,2
91,4509028,10.97,15.73,15.06,39.58,6,10.97,15.73,39.58,6,0.4,18
92,4509029,58.91,22.57,21.57,57.86,47,58.91,22.57,57.86,47,10,33
93,4509030,84.87,42.84,42.32,83.13,79,84.87,42.84,83.13,79,40,85
94,4509032,23.07,13.73,12.54,43.26,17,23.07,13.73,43.26,17,0.2,6
95,4509034,28.97,16.4,14.81,45.58,26,28.97,16.4,45.58,26,1,18
96,4509035,50.26,24.23,22.85,58.72,43,50.26,24.23,58.72,43,5,38
97,4509038,27.4,14.14,13.11,44.21,22,27.4,14.14,44.21,22,0.2,18
98,4509039,11.37,7.86,7.52,22.88,7,11.37,7.86,22.88,7,0.2,22
99,4509040,46.01,23.71,22.57,57.98,39,46.01,23.71,57.98,39,10,40
100,4509041,29.89,12.14,10.99,39.52,20,29.89,12.14,39.52,20,4,18
268,Thompson_Seedless,88.23,43.08,40.69,78.97,76,88.23,43.08,78.97,76,70,220
269,Ren7,75.79,40.22,38.02,78.56,66,75.79,40.22,78.56,66,40,105
